call_number,category,date_acquired,title,id,author,correction_date,correction_source
DF546 .S67 1990,European and Classical Antiquity,,"Byzantine diplomacy: papers of the Twenty-fourth Spring Symposium of Byzantine Studies, Cambridge, March 1990",,,,
DK771.A25 K683 2012,Central Asia & Siberia,,Древнейшие статуи Чемурчека и прилегающих территорий,,,,
DK511.C2 K753 1975,The Caucasus & The Western Steppe,,Пятые Крупновские чтения по археологии Кавказа: тезисы докладов,,,,
DS793.D84 M63 1997,"China, South Asia, & East Asia",,敦煌莫高窟= The Mogao grottoes of Dunhuang,,,,
P945 .Z8 1994,Ancient Western Asia,,A complete retrograde glossary of the Hittite language,,,,
GT550 .W66 2002,European and Classical Antiquity,,Women's dress in the ancient Greek world,,,,
DG59.D43 B65 2018,European and Classical Antiquity,,The Roman bridge between Dolni Vadin (Bulgaria) and Grojdibodu (Romania),,,,
DS70.5.N9 W55 1985,Ancient Western Asia,,"Das Archiv des Šilwa-Teššup, Heft 9:1993",,,,
GN824.U7 B3 1964,The Caucasus & The Western Steppe,,Древнейшие металлурги Приуралья,,,,
DS797.77.X836 X83 2015,"China, South Asia, & East Asia",,宣汉罗家坝= Luojiaba in Xuanhan /,,,,
BV236.H22 L5 1982,Ancient Western Asia,,Livre d'heures des premiers chrétiens,,,,
JC73 .L3 1966,European and Classical Antiquity,,Representative government in Greek and Roman history,,,,
DT61 .G687 2016,Egypt & North Africa,,"Greco-Egyptian interactions: literature, translation, and culture, 500 BCE-300 CE",,,,
DS51.A64 O63 1952 Non-circulating,The Caucasus & The Western Steppe,2011-09-02T00:00:00.000000,Turistik Antalya /,,,,
DJK23 .P76 2008,The Caucasus & The Western Steppe,,Проблемы археологии Восточной Европы: к 85-летию Бориса Андреевича Шрамко,,,,
HB235.I72 V37 2001 v.1,Ancient Western Asia,,"A history of Babylonian prices in the first millennium BC,vol",,,,
NB1043 .L44 1958,"China, South Asia, & East Asia",,成都万佛寺石刻艺朮,,,,
DF261.A18 Y36 1976,European and Classical Antiquity,,Aegina,,,,
SB466.C52 G86 2016,"China, South Asia, & East Asia",,西湖名园・郭庄造园手法分析,,,,
DS329.4 .C49 2012 Non-circulating,Central Asia & Siberia,2012-07-03T00:00:00.000000,Chinese scholars on Inner Asia /,,,,
PL2457.A5 W368 2016,"China, South Asia, & East Asia",,殷墟甲骨文,,,,
DS70.5.B3 J35 1995,Ancient Western Asia,,"Bābil, the city of witchcraft and wine: the name and fame of Babylon in medieval Arabic geographical texts",,,,
DJK28.A76 W35 2017,The Caucasus & The Western Steppe,,"Walchen, Romani und Latini: Variationen einer nachrömischen Gruppenbezeichung zwischen Britannien und dem Balkan",,,,
GN320 .H33 1968,Cross-Cultural Studies & Other,,The rise of anthropological theory: a history of theories of culture,,,,
DS69.5 .A86 2017,Ancient Western Asia,,At the dawn of history: ancient Near Eastern studies in honour of J,,,,
DS79.89.K8 A73 2016,Ancient Western Asia,,The archaeology of the Kurdistan region of Iraq and adjecent regions,,,,
NB1280 .L63 1986,"China, South Asia, & East Asia",,Erzählende Reliefs vom Angkor Vāt: einige Originalabgüsse im Museum für Indische Kunst Berlin,,,,
BX4714.122 .S25 2015,Egypt & North Africa,,Missionary stories and the formation of the Syriac churches,,,,
CC81 .S5 1981 Non-circulating,Cross-Cultural Studies & Other,2012-10-23T00:00:00.000000,Environmental archaeology /,,,,
NK5565 .N4 1983,European and Classical Antiquity,,Геммы античного мира,,,,
HC337.D3 K68 1982,The Caucasus & The Western Steppe,,Проблемы культурно-исторического и хозяйственного развития населения древнего Дагестана,,,,
DG209 .G82 1966,European and Classical Antiquity,,Der Aufbau des Römischen Reiches,,,,
DS324.Z33 B35 2017,Ancient Western Asia,,Mountain peoples in the ancient Near East: the case of the Zagros in the first millennium BCE,,,,
DS797.22.B457 B46 2013,"China, South Asia, & East Asia",,蚌埠禹会村,,,,
DS797.68.X536 S536 2016,"China, South Asia, & East Asia",,长安绎古:汉唐历史考古文集,,,,
DS124 .S75 1969,Ancient Western Asia,,"The Jews in the Byzantine Empire, 641-1204",,,,
QA22 .F749 2007,Ancient Western Asia,,A remarkable collection of Babylonian mathematical texts,,,,
DS156.C17 C65 2006,Ancient Western Asia,,Antalya Karaçallı nekropolü = The Karaçallı necropolis near Antalya,,,,
CJ35 .A5 1958,Cross-Cultural Studies & Other,,Centennial publication of the American Numismatic Society,,,,
PJ1526.I33 I57 Abt.1:Bd.3,Egypt & North Africa,,Edfou VI,,,,
BX156.2 .S34 1983,Ancient Western Asia,,"Lettre Christologique du Patriarche Syro-Oriental Īšō'yahb II de Gd̲ālā (628-646): étude, traduction et édition critique",,,,
D56 .C665 2007,Cross-Cultural Studies & Other,,Continuity and change: studies in late antique historiography,,,,
DJK66 .P75 2013,The Caucasus & The Western Steppe,,"Причерноморье в античное и раннесредневековое время: сборник научных трудов, посвященный 65-летию профессора В",,,,
P950 .W47 1991,Ancient Western Asia,,Kleine Einführung ins Hieroglyphen-Luwische,,,,
DS328 .D73 2014,Central Asia & Siberia,,Древние и средневековые изваяния Центральной Азии: сборник статей,,,,
P945.A2 G766 2004,Ancient Western Asia,,Hethitische Texte in Transkription KUB 60,,,,
DK511.C2 M24 1991,The Caucasus & The Western Steppe,,Скифы на Северном Кавказе,,,,
ND142 .A78 1968,European and Classical Antiquity,,L'art pictural byzantin,,,,
NA6047.C436 W36 2015,"China, South Asia, & East Asia",,"长治宋金元墓室建筑艺术研究=Studies on tomb buildings of Song, Jin and Yuan dynasties in Changzhi",,,,
CE33 .C644 2015,Ancient Western Asia,,Festivals and calendars of the ancient Near East,,,,
KB197.2 .C93 2017,Ancient Western Asia,,Localized law: the Babatha and Salome Komaise archives,,,,
DS118 .H665 1973,Egypt & North Africa,,History until 1880,,,,
GN635.S5 O55 1981,"China, South Asia, & East Asia",,Art of the Amur: ancient art of the Russian Far East,,,,
N6280 .B814 1968,European and Classical Antiquity,,Le préroman,,,,
DS62.23 .E539 2000,Ancient Western Asia,,Quinze ans de recherche (1985-2000) sur la Transeuphratène à l'époque perse,,,,
P945 .S65 Heft 17,Ancient Western Asia,,Eine althethitische Erzählung um die Stadt Zalpa,,,,
DS267 .G58 1989,Ancient Western Asia,,The idea of Iran: an essay on its origin,,,,
NK7175.67.T32 T35 2012,Central Asia & Siberia,,The Oxus treasure,,,,
KL4712.2 .T73 2015,Ancient Western Asia,,Trattati internazionali ittiti,,,,
GN799.P4 K65 1976,The Caucasus & The Western Steppe,,Древнейшие писаницы горного Дагестана,,,,
CN1161.S473 A627 1997,"China, South Asia, & East Asia",,山东摩崖书刻艺术,,,,
PJ4013 .H38 2000,Ancient Western Asia,,A manual of Sumerian grammar and texts,,,,
CJ546 .B38 2000,European and Classical Antiquity,,Silver coinage with the types of Aesillas the Quaestor,,,,
N7342 .T68 2015,"China, South Asia, & East Asia",,"東洋の美:中国・朝鮮・東南アジアの名品=The beauty of Asian art : masterpieces from China, Korea and Southeast Asia",,,,
DS62.23 .O75 2014,Ancient Western Asia,,"The late third millennium in the ancient Near East: chronology, C14, and climate change",,,,
DT60 .P76 1986,Egypt & North Africa,,Science in Egyptology,,,,
DS527.8 .O57 1972,"China, South Asia, & East Asia",,Historical sites in Burma,,,,
PJ1565 .W55 1947,Egypt & North Africa,,"De hymnen aan Amon van papyrus Leiden I 350, v",,,,
NK2121 .M296 2002,"China, South Asia, & East Asia",,中国古代门窗,,,,
NK8459.T33 S84 2018,European and Classical Antiquity,,"La vaisselle métallique de Gaule septentrionale à la veille de la conquête: typologie, fonction et diffusion",,,,
CD5344 .N55 2016,Ancient Western Asia,,Sasanian clay sealings in the Bandar Abbas Museum,,,,
DS247.Y43 D4213 2009,Ancient Western Asia,,Arabia Felix: an exploration of the archaeological history of Yemen,,,,
DS329.4 .C4813 2004 Non-circulating,Central Asia & Siberia,2012-08-03T00:00:00.000000,Nomadic empires :,,,,
CB251 .B356 2009,European and Classical Antiquity,,"Out of Arabia: Phoenicians, Arabs, and the discovery of Europe",,,,
NK7455.I4 P74 1982,"China, South Asia, & East Asia",,Indian rings,,,,
DS71 .R43 2010,Ancient Western Asia,,Rebellions and peripheries in the cuneiform world,,,,
PA6694.S8 N48 2013,European and Classical Antiquity,,New approaches to Sidonius Apollinaris,,,,
CJ208 .H33 2001,Cross-Cultural Studies & Other,,Hacksilber to coinage: new insights into the monetary history of the Near East and Greece : a collection of eight papers presented at the 99th Annual Meeting of the Archaeological Institute of America,,,,
JC375 .H474 2017,Ancient Western Asia,,Herrschaftslegitimation in vorderorientalischen Reichen der Eisenzeit,,,,
CJ277.S95 D78 2016,Ancient Western Asia,,Wealth and warfare: the archaeology of money in ancient Syria,,,,
PJ1526.E37 F45 1927,Egypt & North Africa,,Die Felseninschriften von Hatnub: nach den Aufnahmen Georg Möllers,,,,
QK475 .H38 2000,Cross-Cultural Studies & Other,,The identification of the Northern European woods: a guide for archaeologists and conservators,,,,
DK771.A25 S235 2016,Central Asia & Siberia,,Древние городища Алтая,,,,
DK34.S4 G75 1992,The Caucasus & The Western Steppe,,"Граковские чтения на Кафедре археологии МГУ, 1989-1990 гг",,,,
DK508.3 .A745 1985,The Caucasus & The Western Steppe,,"Археология Украинской ССР: в трех томах, t",,,,
BR195.P74 H86 2009,European and Classical Antiquity,,Psychology of prophecy in early Christianity: prophetism and religious altered states of consciousness,,,,
DK508.95.C544 Z83 1993,The Caucasus & The Western Steppe,,Херсонес Таврический в античную эпоху: экономика и социальные oтнощения,,,,
N7348 .Y8 1981,"China, South Asia, & East Asia",,中國美術家人名辭典,,,,
DS70.5.B3 B33 2009,Ancient Western Asia,,Babylon,,,,
BX152 .S914 1902,Ancient Western Asia,,"Synodicon orientale, ou, Recueil de synodes nestoriens",,,,
PJ1181 .R58 1995,Egypt & North Africa,,Das Verbalsystem der königlichen und privaten Inschriften: XVIII,,,,
GN780.22.R9 D38 1974,The Caucasus & The Western Steppe,,Культуры Дагестана эпохи раннего железа,,,,
DS254.5 .G74 1945,Ancient Western Asia,,Persia,,,,
BX4700.P47 S15 1956,Ancient Western Asia,,"La vie merveilleuse de Saint Pierre d'Altroa, (837)",,,,
DK945 .V65 1978,Central Asia & Siberia,,"Вопросы археологии, древней истории и этнографии Узбекистана",,,,
DS156.T39 J36 2017,Ancient Western Asia,,Sea Peoples of the Northern Levant?: Aegean-Style Pottery from Early Iron Age Tell Tayinat,,,,
LF4425.C4 A6 1976,The Caucasus & The Western Steppe,,Материалы конференции профессорско-преподавательского состава Чечено-Ингушского госуниверситета по итогам научо-исследовательской работы за 1974: [тезисы докладов],,,,
CN415.P4 G52 1978,Ancient Western Asia,,"The ""Christians for Christians"" inscriptions of Phrygia: Greek texts, translation and commentary",,,,
DS286 .S47 2016,Ancient Western Asia,,A short chronicle on the end of the Sasanian Empire and early Islam 590-660 A,,,,
NK4146.C9 M68 2018,Ancient Western Asia,,"Decorated pottery in Cyprus and Philistia in the 12th century BC: Cypriot IIIC and Philistine IIIC, v",,,,
DE84 .S78 2008,European and Classical Antiquity,,Studies on the Greek and Roman military history,,,,
DS797.77.Q255 S26 2007,"China, South Asia, & East Asia",,三台郪江崖墓,,,,
BT1410 .T73 2017,"China, South Asia, & East Asia",,"Tractatus Manichaicus Sinicus=摩尼教殘經, v",,,,
N7343.24 .L58 1996,"China, South Asia, & East Asia",,"六朝艺术, text",,,,
DS110.T22 S75 2006,Ancient Western Asia,,"Tel Tanninim: excavations at Krokodeilon Polis, 1996-1999",,,,
BS2833.A76 T46 2017,Ancient Western Asia,,Nerses of Lambron: commentary on the Dormition of Saint John,,,,
PL2466.Z6 W33 1988,"China, South Asia, & East Asia",,"詩三家義集疏, v",,,,
BL785 .R37 1927,European and Classical Antiquity,,Die hellenistischen Mysterienreligionen: nach ihren Grundgedanken und Wirkungen ; Vortrag Ursprünglich Gehalten in dem Wissenschaftlichen predigerverein für Elsass-Lothringen den 11,,,,
DS153.3 J683 1997,Egypt & North Africa,,Jordanie: sur les pas des archéologues : exposition présentée [à l'Institut du monde arabe] du 13 juin au 5 octobre 1997,,,,
D17 .B33 1976,Ancient Western Asia,,"The chronography of Gregory Abû'l-Faraj 1225-1286, the son of Aaron, the Hebrew physician commonly known as Bar Hebraeus, being the first part of his political history of the world, v",,,,
CN360 .P68 2003,European and Classical Antiquity,,Choix d'inscriptions grecques,,,,
DS99.U35 F74 2006,Ancient Western Asia,,Histoire politique du royaume d'Ugarit,,,,
DS12 .S475 2000,Central Asia & Siberia,,"La Sérinde, terre d'échanges: art, religion, commerce du Ier au Xe siècle : actes du colloque international, Galeries nationales du Grand Palais, 13-14-15 février 1996",,,,
HD9926.C62 S55 2015,Central Asia & Siberia,,"丝路之绸:起源传播与交流= Silks from the silk road: orgins, transmission and exchange",,,,
GN824.A84 K63 1983,The Caucasus & The Western Steppe,,Кочевники Азово-Каспийского междуморья: межвузовский сборник статеий,,,,
DS69.5 .L38 2017,Ancient Western Asia,,"Babylonia, the Gulf Region, and the Indus: archaeological and textual evidence for contact in the third and early second millennium B",,,,
BL1616.F87 K38 2003,Ancient Western Asia,,The image of the netherworld in the Sumerian sources,,,,
P945 .S65 Heft 18,Ancient Western Asia,,Der Anitta-Text,,,,
DF14 .R63 1969,European and Classical Antiquity,,"Opera minora selecta: épigraphie et antiquités grecques, v",,,,
DK511.K8 P89 1997,The Caucasus & The Western Steppe,,Памятники скифского времени бассейна р,,,,
CJ547.A47 L67 1990,European and Classical Antiquity,,Amphipolis: the civic coinage in silver and gold,,,,
DT85 .S484 1902,Egypt & North Africa,,"Imhotep, der Asklepios der Aegypter: ein vergötterter mensch aus der zeit des königs Ḏoṡer",,,,
DS51.O75 S25 2001,Ancient Western Asia,,The salvage excavations at Orman Fidanlığı: a Chalcolithic site in inland northwestern Anatolia,,,,
BX4711.122 .F67 2001,Ancient Western Asia,,The uniate Eastern churches,,,,
S421 .R58 1991,Cross-Cultural Studies & Other,,Rites et rythmes agraires: séminaire de recherche,,,,
DK508.9.B57 A58 1984,Central Asia & Siberia,,Aнтичные гoсудaрствa Сeвeрного Причерноморья,,,,
PJ2033 .S84 1971,Egypt & North Africa,,Koptische Grammatik,,,,
Z6611.G45 G476 2006,Ancient Western Asia,,المخطوطاتالعربيةفيمكتبةالبودليانجامعةأوكسفورد,,,,
CJ3496 .Q253 2002,"China, South Asia, & East Asia",,钱币学与冶铸史论丛,,,,
PA3315 .G4 1939,Egypt & North Africa,,The Adler papyri,,,,
DK509 .D83 1984,The Caucasus & The Western Steppe,,"Душетская научная конференция, посвященная проблеме взаимоотношений между горными и равнинными регионами: аннотации",,,,
PA3339 .P34 t.9 1969,Egypt & North Africa,,Le stratège du nome,,,,
DS70.5.N9 S88 vol.7 1995,Ancient Western Asia,,Edith Porada memorial volume,,,,
QE536 .E73 2016,Cross-Cultural Studies & Other,,Erdbeben in der Antike: Deutungen - Folgen - Repräsentationen,,,,
DF221.C8 .F736 2025,European and Classical Antiquity,2025-12-03,"Greek and Roman pottery from Sphakia, south-west Crete : from the White Mountains to the deep blue sea /",,,,
DS797.75.D386 X8 2001,"China, South Asia, & East Asia",,大同导游,,,,
DS69.6 .M35 2016,Ancient Western Asia,,Making pictures of war: realia et imaginaria in the iconology of the ancient Near East,,,,
DT269.U9 W47 1982,Egypt & North Africa,,"Uzita: Vondstenmateriaal uit een antieke nederzetting in Midden-Tunisië = Uzita : matériel de fouilles d'une cité antique en Tunisie Centrale, deel 2",,,,
DK508.9.K78 K856 1906,The Caucasus & The Western Steppe,,Прошлое Тавриды: краткий историческій очерк,,,,
DK508.95.C544 K485 1958,Central Asia & Siberia,,Херсонес Таврический: путeвoдитeль пo рaскoпкaм,,,,
DS554.98.A5 D54 2001,"China, South Asia, & East Asia",,"Ruins of Angkor, Cambodia, in 1909",,,,
PJ3251 .U55 1969,Ancient Western Asia,,Grammatik des Akkadischen,,,,
DE59 .V555 2013,Cross-Cultural Studies & Other,,"Villes et campagnes aux rives de la Méditerranée ancienne: hommages à Georges Tate, text",,,,
GN778.22.C38 V67 2011,The Caucasus & The Western Steppe,,Вопросы древней и средневековой археологии Кавказа,,,,
DK2.5 .V74 1960,The Caucasus & The Western Steppe,,Сборник докладов на VI и VII Всесоюзных археологических студенческих конференциях,,,,
DS275 .T73 2002,Cross-Cultural Studies & Other,,Tradition and innovation in the ancient world,,,,
DK508.9.K78 P66 2005,The Caucasus & The Western Steppe,,Историко-археологические очерки греческой и позднескифской культур в Северо-Западном Крыму: по материалам Чайкинского городища,,,,
NK7983 .M8 1967,"China, South Asia, & East Asia",,Chinese Buddhist bronzes,,,,
DK771.A79 G75 1980,Central Asia & Siberia,,Аржан--царский курган раннескифского времени,,,,
DS73.95 .S76 1985,Ancient Western Asia,,"Entrepreneurs and empire: the Muras̆û Archive, the Muras̆û Firm, and Persian rule in Babylonia",,,,
DR431 .A75 2017,Ancient Western Asia,,Arkeolojik şeyler = Archaeological things,,,,
BR1608.P47 P47 2016,Ancient Western Asia,,Persian martyr acts under King Yazdgird I,,,,
NK7107 .B67 2006,Ancient Western Asia,,"Gold im Alten Orient: Technik, Naturwissenschaft, Altorientalistik",,,,
DK651.A596 A53 1980,The Caucasus & The Western Steppe,,"Гoргиппия: (Maтeриaлы Aнaпскoй археологическoй экспедиции), sb",,,,
DK511.K6 G65 1989 Non-circulating,The Caucasus & The Western Steppe,2012-05-03T00:00:00.000000,Gold und Kunsthandwerk vom antiken Kuban :,,,,
DS797.72.J56 H8 2001,"China, South Asia, & East Asia",,惊世汉王陵:济南洛庄汉墓掲秘,,,,
BT315 .M66 1952,Ancient Western Asia,,Le leggende orientali sui magi evangelici,,,,
BR65.D62 F7 1980,European and Classical Antiquity,,Œuvres complètes du Pseudo-Denys lʼAréopagite,,,,
PJ1526.I33 I57 Suppl.:Heft 4 1994,Egypt & North Africa,,"Edfu: Studien zu Vokabular, Ikonographie, und Grammatik",,,,
DF221.C8 A634 1975,European and Classical Antiquity,,Herakleion Museum and archaeological sites of Crete,,,,
DK511.G4 S25 1980,The Caucasus & The Western Steppe,,Histoire de la nation géorgienne,,,,
DK34.S4 R9 1979,The Caucasus & The Western Steppe,,Геродотова Скифия: Ист,,,,
N7343.23 .S65 2014,"China, South Asia, & East Asia",,Splendeurs des Han: essor de l'Empire céleste,,,,
DS797.44.E75 X569 2016,"China, South Asia, & East Asia",,"新郑望京楼: 2010-2012年田野考古发掘报告, v",,,,
DS62.2 .W555 1893,Ancient Western Asia,,"Altorientalische Forschungen, v",,,,
PJ3791 .S35 1989,Ancient Western Asia,,"Schlaf, Kindchen, schlaf!: mesopotamische Baby-Beschwörungen und -Rituale",,,,
PK8547.S27 Z63 2013,The Caucasus & The Western Steppe,,David of Sassoun: critical studies on the Armenian epic,,,,
PJ3181 .L8 1886,Ancient Western Asia,,An Assyrian manual: for the use of beginners in the study of the Assyrian language,,,,
DS798.9.O75 W67 2003,"China, South Asia, & East Asia",,Work for the project Turkish Monuments in Mongolia in year 2001,,,,
CB253 .E76 1995,Cross-Cultural Studies & Other,,Эрмитажные чтения 1986-1994 годов памяти В,,,,
KL4347 .T35 2017,European and Classical Antiquity,,Dike ouk eisagogimos: contributi allo studio del processo attico,,,,
BS742 .B74 1970,Ancient Western Asia,,"The Septuagint version of the Old Testament: with an English translation, and with various readings and critical notes",,,,
DS793.K4 P46 1992,"China, South Asia, & East Asia",,江西先秦考古,,,,
BL1900.L35 Y83 1973,"China, South Asia, & East Asia",,新譯老子讀本,,,,
PA6156.S7 S73 2015,European and Classical Antiquity,,Silvae,,,,
DK508.9.B57 P47 1986,The Caucasus & The Western Steppe,,Косторезное дело в античных государствах Северного Причерноморья,,,,
ND1043.23 .C43 1955,"China, South Asia, & East Asia",,漢代繪畫選集,,,,
Z3464.L5 U58 1987,The Caucasus & The Western Steppe,,Bibliography of Armenian dictionaries,,,,
DT68 .W34 2016 texgt & plates,Egypt & North Africa,,Der Sarkophag der Gottesgemahlin Anchnesneferibre,,,,
DG59.P2 K68 2014,European and Classical Antiquity,2025-12-18,Die antiken Quellen zu Pannonien in der Spätantike /,,,,
RS63 .H37 2016,European and Classical Antiquity,,Ancient botany,,,,
NB1007.S67 S68 1954,"China, South Asia, & East Asia",,A handbook of South Indian images: an introduction to the study of Hindu iconography,,,,
DS69.1 .R4 1928 Bd.15:Lfg.1-2. From the library of Hayim and Miriam Tadmor,Ancient Western Asia,,"Reallexikon der Assyriologie, Bd",,,,
DS110.S43 W38 1937,Ancient Western Asia,,"Preliminary report of the University of Michigan excavations at Sepphoris, Palestine, in 1931",,,,
KJA2512 .S47 2001,European and Classical Antiquity,,Epistulae e negotia nel diritto romano classico 2,,,,
DS66 .I57 2008,Ancient Western Asia,,VII,,,,
DS43 .I7 1861,Ancient Western Asia,,"Itinéraire descriptif, historique et archéologique de l'Orient",,,,
DS90 .D59 1992,Ancient Western Asia,,People of the sea: the search for the Philistines,,,,
NK7983.Z53 Q25 2015,"China, South Asia, & East Asia",,齐国故城遗址博物馆馆藏青铜器精品,,,,
DS329.4 .B67 1989,Central Asia & Siberia,,Запад Центральной Азии во II в,,,,
CJ809 .S35 1978,European and Classical Antiquity,,Scripta nummaria romana: essays presented to Humphrey Sutherland,,,,
DS156.Z59 M38 2017,Ancient Western Asia,,Ziyaret Tepe: exploring the Anatolian frontier of the Assyrian Empire,,,,
GV669 .Q44 1975,Egypt & North Africa,,Quellentexte zu Sport und Körperkultur im alten Ägypten,,,,
N7342 .S483 2004,"China, South Asia, & East Asia",,"山东省博物馆藏珍, v",,,,
DJK46.7 .K89 1991,The Caucasus & The Western Steppe,,Этюды по скифской истории,,,,
GN780.22.T9 D66 2016,Ancient Western Asia,,Anadolu ve Ermeniler: kızılırmak havzası demir çağı toplumunun doğu Anadolu yaylası'na büyük göçü = Anatolia and Armenians: great exodus of the Halys Basin Iron Age Community to the eastern Anatolian plateau,,,,
DK511.C2 A678 2015,The Caucasus & The Western Steppe,,"V ""Анфимовские чтения"" по археологии Западного Кавказа: Культурные взаимодействия народов Западного Кавказа в древности и средневековье: Материалы международной археологической конференции (г",,,,
DS327 .J68 v.6 (2011),Central Asia & Siberia,,"Journal of Inner Asian art and archaeology, vol",,,,
DK34.S4 I28 1959,The Caucasus & The Western Steppe,,Скифия VII-V веков до нашей эры: археологические памятники степного Приднепровья и Приазовья VII-V веков до нашей эры,,,,
N5310.8.R8 S35 1979,The Caucasus & The Western Steppe,,У истоков искусства: Каталог выставки,,,,
CN1230.Y4 N43 2016,Ancient Western Asia,,Der Tatenbericht des Yiṯa''amar Watar bin Yakrubmalik aus Ṣirwāḥ (Jemen) zur Geschichte Südarabiens im frühen 1,,,,
CJ1087 .B46 2014,Ancient Western Asia,,"Local elites and local coinage: elite self representation on the provincial coinage of Asia, 31 BC to AD 275",,,,
PJ4053.R66 S55 1995 v.1-2,Ancient Western Asia,,"Neo-Sumerian texts from the Royal Ontario Museum, vol",,,,
DK34.A4 K689 1997,The Caucasus & The Western Steppe,,"Les Alains: cavaliers des steppes, seigneurs du Caucase",,,,
DS797.28.D864 A17 2000,"China, South Asia, & East Asia",,2000年敦煌学国际学术讨论会论文提要集:纪念敦煌藏经洞发现暨敦煌学100周年(1900-2000)= 2000 International conference on Dunhuang studies-abstracts of papers : the centenary of the discovery of the Dunhuang Library Cave and the founding of Dunhuang studies (1900-2000),,,,
BL813.S3 E8 1939,European and Classical Antiquity,,The cults of the Sabine territory,,,,
CD5344 .K45 1991,Ancient Western Asia,,Vorderasiatische Stempelsiegel: die Sammlung des Biblischen Instituts der Universität Freiburg Schweiz,,,,
PJ3887 .B3 2016,Ancient Western Asia,,The verb in the Amarna letters from Canaan,,,,
DS156.U7 P59 2011,The Caucasus & The Western Steppe,,История и культура Урарту,,,,
DK771.G6 P65 1994 Non-circulating,Central Asia & Siberia,2013-01-16T00:00:00.000000,Steregushchie zoloto grify :,,,,
ML85 .C5 1996,"China, South Asia, & East Asia",,"中国音乐文物大系, v",,,,
DK771.K5 Z83 1999,Central Asia & Siberia,,Das tagarzeitliche Gräberfeld Belyj Jar I in Chakassien,,,,
BV5082.2 .L6713,Ancient Western Asia,,The mystical theology of the Eastern Church,,,,
CC80.4 .O5 2000,Cross-Cultural Studies & Other,,On the theory and practice of archaeological computing,,,,
DS486.T3 M3 1960,"China, South Asia, & East Asia",,A guide to Taxila,,,,
DS70.5.C84 C84 1930,Ancient Western Asia,,Die Ausgrabungen der deutschen Ktesiphon-expedition im Winter 1928/1929,,,,
DS797.28.D864 D864 2000,"China, South Asia, & East Asia",,敦煌硏究院=Dunhuang Academy,,,,
N5899.I2 I237 1998,European and Classical Antiquity,,"Die Iberer: Paris, Galeries nationales du Grand Palais, 15",,,,
ND2849.Y85 S53 2016,"China, South Asia, & East Asia",,榆林窟第25窟:敦煌图像中的唐蕃关系,,,,
PJ3837.S7 L8 1924,Egypt & North Africa,,The annals of Sennacherib,,,,
GN855.R9 A82 1975,Central Asia & Siberia,,Проблемы этнической истории Бeрингоморья: Эквенский могильник,,,,
CJ401 .K72 1976,European and Classical Antiquity,,Archaic and classical Greek coins,,,,
DK771.T93 K97 1979,Central Asia & Siberia,,Древняя Тува: от палеолита до IX в,,,,
HQ1136 .C527 2013,European and Classical Antiquity,,Women in ancient Rome,,,,
PA3343 .R45 2016,Egypt & North Africa,,"Kommunikation und Ökonomie: Untersuchungen zu den privaten Papyrusbriefen aus dem kaiserzeitlichen Ägypten, T",,,,
DS56 .R46 2008,Ancient Western Asia,,"Divination in the ancient Near East: a workshop on divination conducted during the 54th Rencontre assyriologique internationale, Würzburg, 2008",,,,
PA3308 .A79 2016,Egypt & North Africa,,Two Hellenistic medical papyri of the Ärztekammer Nordrhein (P,,,,
PJ1481 .H47 1957,Egypt & North Africa,,Untersuchungen zur Überlieferungsgestalt mittelägyptischer Literaturwerke,,,,
DS51.B86 K67 1957,Ancient Western Asia,,Türk Tarih Kurumu tarafindan yapilan Büyük Güllücek kazisi: 1947 ve 1949 daki çalişmalar hakkinda ilk rapor = Ausgrabungen von Büyük Güllücek : Ausgeführt durch die Türkische historische Gesellschaft Vorbericht über die Arbeiten von 1947 und 1949,,,,
DS797.44.L84 L873 2014,"China, South Asia, & East Asia",,洛阳五女冢遗址:田野考古发掘报告,,,,
N7343.24 .L58 1996,"China, South Asia, & East Asia",,"六朝艺术, plates",,,,
PJ3881 .S74 1944,Ancient Western Asia,,Old Assyrian letters and business documents,,,,
DB920 .A34 1986,European and Classical Antiquity,,Археология Венгрии: конец II тысячелетия до н,,,,
DS327.8 .R68 1985 Non-circulating,Central Asia & Siberia,2012-04-04T00:00:00.000000,La Route de la soie /,,,,
NB1912.B83 Y864 2014,"China, South Asia, & East Asia",,"云冈石窟=Yun-kang, v",,,,
DG271 .R56 1991,European and Classical Antiquity,,"The Roman eastern frontier and the Persian Wars, pt",,,,
DK500.B55 K33 1991,The Caucasus & The Western Steppe,,Города и пoсeлeния Причерноморья aнтичной эпохи: мaлый энциклопедический справочник,,,,
DF501 .T33 Bd.9 1996,Ancient Western Asia,,Paphlagonien und Honōrias,,,,
NA1501 .P86 1999,"China, South Asia, & East Asia",,Great monuments of the Indian subcontinent,,,,
GN778.28 .D58 2002,The Caucasus & The Western Steppe,,Mеталлические сeрпы пoздней бронзы Восточной Европы,,,,
GF657.S46 H859 2016,"China, South Asia, & East Asia",,鲁东南沿海地区聚落选址与聚落变迁研究,,,,
GN778.A7 M3 1964,The Caucasus & The Western Steppe,,Армения в эпоху бронзы и раннего железа,,,,
DT61 .H5 2000,Egypt & North Africa,,Ägypten: Kultur und Lebenswelt in griechisch-römischer Zeit : eine Darstellung nach den demotischen Quellen,,,,
PJ3711 .Y25 v.4 2000,Ancient Western Asia,,Old Babylonian archival texts in the Yale Babylonian Collection,,,,
